Plot,Replicate,Date,Time,Observer,Sky,Wind,Bird.Number,Period,Minute,Species,Sex,Detection.Method,Distance,New.Record,Counter.sing,Comments
1,1,6/7/12,5:30:00,ANON,3,0,2,NA,1,AAAA,M,S,2,NA,NA,
1,1,6/7/12,5:30:00,ANON,3,0,33,NA,1,AAAA,M,S,1,NA,NA,
1,1,6/7/12,5:30:00,ANON,3,0,33,NA,1,BBBB,M,S,2,NA,NA,
1,1,6/7/12,5:30:00,ANON,3,0,1,NA,1,BBBB,M,S,1,NA,NA,
1,1,6/7/12,5:30:00,ANON,3,0,333,NA,1,BBBB,M,S,2,NA,NA,
1,1,6/7/12,5:30:00,ANON,3,0,2,NA,1,CCCC,M,S,2,NA,NA,
1,1,6/7/12,5:30:00,ANON,3,0,6,NA,2,EEEE,M,S,2,NA,NA,
1,1,6/7/12,5:30:00,ANON,3,0,6,NA,3,QQQQ,M,S,1,NA,NA,
2,1,6/7/12,5:30:00,ANON,3,0,6,NA,5,QQQQ,M,S,2,NA,NA,
2,1,6/7/12,5:30:00,ANON,3,0,6,NA,5,WWWW,M,S,1,NA,NA,
2,1,6/7/12,5:30:00,ANON,3,0,6,NA,7,WWWW,M,S,2,NA,NA,
2,1,6/7/12,5:30:00,ANON,3,0,6,NA,7,AAAA,M,S,2,NA,NA,
2,1,6/7/12,5:30:00,ANON,3,0,6,NA,10,QQQQ,M,S,1,NA,NA,
2,2,6/7/12,7:29:00,ANON,2,0,1,NA,1,AAAA,M,S,1,NA,NA,
2,2,6/7/12,7:29:00,ANON,2,0,2,NA,1,BBBB,M,S,1,NA,NA,
3,2,6/7/12,7:29:00,ANON,2,0,3,NA,1,BBBB,M,S,2,NA,NA,
3,2,6/7/12,7:29:00,ANON,2,0,4,NA,1,BBBB,M,S,2,NA,NA,
3,2,6/7/12,7:29:00,ANON,2,0,5,NA,3,CCCC,M,S,2,NA,NA,
3,2,6/7/12,7:29:00,ANON,2,0,6,NA,6,EEEE,M,S,2,NA,NA,
3,2,6/7/12,7:29:00,ANON,2,0,7,NA,9,QQQQ,U,C,1,NA,NA,
3,3,6/7/12,6:41:00,ANON,2,0,1,NA,1,QQQQ,M,S,1,NA,NA,
3,3,6/7/12,6:41:00,ANON,2,0,2,NA,1,CCCC,M,S,2,NA,NA,
3,3,6/7/12,6:41:00,ANON,2,0,3,NA,1,AAAA,M,S,2,NA,NA,
3,3,6/7/12,6:41:00,ANON,2,0,4,NA,1,AAAA,M,S,2,NA,NA,
1,3,6/7/12,6:41:00,ANON,2,0,5,NA,1,QQQQ,M,S,2,NA,NA,
